"","id","Name","Name_english","Height","Weight","HP","Attack","Defense","SpAttack","SpDefense","Speed","Total","capture_rate","base_happiness","Type","Type1","Type2","habitat","color","shape","growth_rate","gender_rate","has_gender_differences","is_baby","forms_switchable","LastEvolution","evolves_from_species_id","evolution_chain_id","generation_id","hatch_counter","conquest_order"
"Bulbizarre",1,"Bulbizarre","bulbasaur",0.71,6.9,45,49,49,65,65,45,318,45,70,"Grass~Poison","Grass","Poison","grassland","green","quadruped","medium-slow","1","0","0","0",FALSE,NA,1,"1",20,NA
"Herbizarre",2,"Herbizarre","ivysaur",0.99,13,62,62,63,80,80,60,405,45,70,"Grass~Poison","Grass","Poison","grassland","green","quadruped","medium-slow","1","0","0","0",FALSE,1,1,"1",20,NA
"Florizarre",3,"Florizarre","venusaur",2.01,100,80,82,83,100,100,80,525,45,70,"Grass~Poison","Grass","Poison","grassland","green","quadruped","medium-slow","1","1","0","0",TRUE,2,1,"1",20,NA
"Salamèche",4,"Salamèche","charmander",0.61,8.5,39,52,43,60,40,65,309,45,70,"Fire","Fire",NA,"mountain","red","upright","medium-slow","1","0","0","0",FALSE,NA,2,"1",20,109
"Reptincel",5,"Reptincel","charmeleon",1.09,19,58,64,58,80,65,80,405,45,70,"Fire","Fire",NA,"mountain","red","upright","medium-slow","1","0","0","0",FALSE,4,2,"1",20,110
"Dracaufeu",6,"Dracaufeu","charizard",1.7,90.5,78,84,78,109,85,100,534,45,70,"Fire~Flying","Fire","Flying","mountain","red","upright","medium-slow","1","0","0","0",TRUE,5,2,"1",20,111
"Carapuce",7,"Carapuce","squirtle",0.51,9,44,48,65,50,64,43,314,45,70,"Water","Water",NA,"waters-edge","blue","upright","medium-slow","1","0","0","0",FALSE,NA,3,"1",20,NA
"Carabaffe",8,"Carabaffe","wartortle",0.99,22.5,59,63,80,65,80,58,405,45,70,"Water","Water",NA,"waters-edge","blue","upright","medium-slow","1","0","0","0",FALSE,7,3,"1",20,NA
"Tortank",9,"Tortank","blastoise",1.6,85.5,79,83,100,85,105,78,530,45,70,"Water","Water",NA,"waters-edge","blue","upright","medium-slow","1","0","0","0",TRUE,8,3,"1",20,NA
"Chenipan",10,"Chenipan","caterpie",0.3,2.9,45,30,35,20,20,45,195,255,70,"Bug","Bug",NA,"forest","green","squiggle","medium","4","0","0","0",FALSE,NA,4,"1",15,NA
"Chrysacier",11,"Chrysacier","metapod",0.71,9.9,50,20,55,25,25,30,205,120,70,"Bug","Bug",NA,"forest","green","squiggle","medium","4","0","0","0",FALSE,10,4,"1",15,NA
"Papilusion",12,"Papilusion","butterfree",1.09,32,60,45,50,80,80,70,385,45,70,"Bug~Flying","Bug","Flying","forest","white","bug-wings","medium","4","1","0","0",TRUE,11,4,"1",15,NA
"Aspicot",13,"Aspicot","weedle",0.3,3.2,40,35,30,20,20,50,195,255,70,"Bug~Poison","Bug","Poison","forest","brown","squiggle","medium","4","0","0","0",FALSE,NA,5,"1",15,NA
"Coconfort",14,"Coconfort","kakuna",0.61,10,45,25,50,25,25,35,205,120,70,"Bug~Poison","Bug","Poison","forest","yellow","squiggle","medium","4","0","0","0",FALSE,13,5,"1",15,NA
"Dardargnan",15,"Dardargnan","beedrill",0.99,29.5,65,80,40,45,80,75,385,45,70,"Bug~Poison","Bug","Poison","forest","yellow","bug-wings","medium","4","0","0","0",TRUE,14,5,"1",15,177
"Roucool",16,"Roucool","pidgey",0.3,1.8,40,45,40,35,35,56,251,255,70,"Normal~Flying","Normal","Flying","forest","brown","wings","medium-slow","4","0","0","0",FALSE,NA,6,"1",15,NA
"Roucoups",17,"Roucoups","pidgeotto",1.09,30,63,60,55,50,50,71,349,120,70,"Normal~Flying","Normal","Flying","forest","brown","wings","medium-slow","4","0","0","0",FALSE,16,6,"1",15,NA
"Roucarnage",18,"Roucarnage","pidgeot",1.5,39.5,83,80,75,70,70,91,469,45,70,"Normal~Flying","Normal","Flying","forest","brown","wings","medium-slow","4","0","0","0",TRUE,17,6,"1",15,NA
"Rattata",19,"Rattata","rattata",0.3,3.5,30,56,35,25,35,72,353,255,70,"Normal","Normal",NA,"grassland","purple","quadruped","medium","4","1","0","0",FALSE,NA,7,"1",15,NA
"Rattatac",20,"Rattatac","raticate",0.71,18.5,55,81,60,50,70,97,413,127,70,"Normal","Normal",NA,"grassland","brown","quadruped","medium","4","1","0","0",TRUE,19,7,"1",15,NA
